LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
7,25,0,13,13,3,9,48,27.92,34.83,33877.71,0.32,215,0.03,1882.09,972.57,76,139,12,11,70,1
4,3,0,0,2,2,1,14,46.95,9.25,4017.03,0.14,84,0.11,223.17,434.27,37,47,24,12,20,1
1,3,0,0,2,2,1,9,27.03,4.88,642.38,0.04,30,0.21,35.69,131.77,13,17,12,9,13,0
6,9,0,2,5,3,1,27,25.95,22.91,13621.99,0.2,115,0.04,756.78,594.54,41,74,17,19,38,0
2,7,0,0,4,2,3,16,15.69,14.55,3319.78,0.08,48,0.07,184.43,228.23,20,28,11,16,20,0
8,3,0,1,2,1,1,13,27.46,10.97,3303.73,0.1,62,0.09,183.54,301.19,27,35,16,13,24,0
5,19,0,0,10,4,10,32,22.23,28.72,18342.91,0.21,120,0.03,1019.05,638.63,47,73,18,22,41,1
3,5,0,0,3,3,1,14,17.35,6.86,815.6,0.04,28,0.15,45.31,118.94,8,20,7,12,20,0
6,27,1,4,14,12,10,95,52.79,41.26,89865.49,0.73,353,0.02,4992.53,2177.98,146,207,46,26,109,0
4,1,0,1,1,1,1,9,20.12,7.31,1076.02,0.05,36,0.14,59.78,147.15,13,23,8,9,16,0
10,3,0,9,2,2,1,30,60.18,12.09,8797.96,0.24,131,0.08,488.78,727.65,57,74,33,14,52,0
24,37,0,44,19,12,1,103,86.92,30.67,81739.17,0.89,432,0.03,4541.06,2665.41,184,248,54,18,173,1
3,1,0,13,1,1,1,11,0.0,0.0,0.0,0.01,13,0.0,0.0,30.19,0,13,0,5,29,0
1,9,0,0,5,2,1,13,12.48,23.14,6685.02,0.1,68,0.04,371.39,288.86,27,41,7,12,16,0
1,23,0,0,12,12,12,23,31.64,23.2,17031.8,0.24,142,0.04,946.21,734.13,58,84,20,16,26,0
4,1,0,0,1,1,1,22,93.71,9.23,7984.62,0.29,173,0.11,443.59,865.0,80,93,26,6,29,0
3,7,0,1,4,4,1,11,28.85,5.96,1024.21,0.06,38,0.17,56.9,171.9,13,25,12,11,17,0
3,5,0,0,3,3,1,14,34.66,9.75,3295.25,0.11,67,0.1,183.07,337.97,30,37,20,13,19,0
1,1,0,0,1,1,1,4,21.19,3.21,218.94,0.02,19,0.31,12.16,68.11,9,10,7,5,9,0
1,3,0,0,2,2,1,11,21.55,12.0,3103.76,0.09,58,0.08,172.43,258.64,20,38,10,12,14,0
2,7,0,0,4,4,1,15,22.43,9.09,1853.64,0.07,48,0.11,102.98,203.9,25,23,11,8,19,0
3,9,0,0,5,5,1,22,36.86,13.5,6717.49,0.17,110,0.07,373.19,497.59,42,68,14,9,28,1
37,17,2,12,9,4,1,245,166.82,52.04,451812.89,2.89,1216,0.02,25100.72,8681.69,563,653,119,22,298,1
1,1,0,0,1,1,1,6,18.99,5.14,502.31,0.03,25,0.19,27.91,97.67,9,16,7,8,9,0
1,3,0,1,2,2,1,6,23.47,6.36,950.34,0.05,34,0.16,52.8,149.34,14,20,11,10,11,0
1,1,0,0,1,1,1,4,19.37,2.5,121.08,0.02,14,0.4,6.73,48.43,6,8,6,5,7,0
4,7,0,4,4,3,3,22,31.36,15.55,7578.99,0.16,91,0.06,421.05,487.54,36,55,22,19,32,0
5,7,0,2,4,1,1,21,21.15,12.0,3045.88,0.08,54,0.08,169.22,253.82,24,30,13,13,30,1
18,1,6,2,1,1,1,59,170.62,15.59,41494.88,0.89,405,0.06,2305.27,2660.79,154,251,79,16,89,0
6,19,0,0,10,3,7,26,27.63,21.18,12391.41,0.2,116,0.05,688.41,585.15,45,71,17,16,37,0
2,5,1,0,3,2,1,24,28.42,17.68,8889.32,0.17,98,0.06,493.85,502.67,42,56,19,16,27,0
4,1,0,1,1,1,1,10,33.53,9.75,3187.28,0.11,68,0.1,177.07,326.9,26,42,16,12,17,0
5,3,0,2,2,2,1,15,16.57,15.13,3790.74,0.08,59,0.07,210.6,250.63,22,37,8,11,24,1
38,9,0,1,5,5,1,98,154.83,38.06,224308.42,1.96,897,0.03,12461.58,5893.16,406,491,80,15,139,1
18,17,0,26,9,4,1,62,35.0,25.5,22758.63,0.3,174,0.04,1264.37,892.5,68,106,20,15,108,0
12,15,3,19,8,7,1,52,41.29,33.25,45651.03,0.46,250,0.03,2536.17,1372.96,76,174,24,21,88,1
6,5,0,0,3,3,1,17,24.29,9.75,2309.16,0.08,51,0.1,128.28,236.84,18,33,12,13,25,0
1,1,0,2,1,1,1,3,13.79,1.5,31.02,0.01,8,0.67,1.72,20.68,3,5,3,3,8,0
1,7,0,0,4,4,4,7,21.46,8.8,1662.05,0.06,43,0.11,92.34,188.87,16,27,10,11,10,0
30,23,2,19,12,4,6,47,28.22,35.42,35409.67,0.33,179,0.03,1967.2,999.71,77,102,25,23,103,0
1,35,0,25,18,4,18,32,24.27,47.5,54762.43,0.38,223,0.02,3042.36,1152.89,85,138,17,19,60,1
3,13,0,0,7,3,7,35,23.2,27.6,17672.26,0.21,118,0.04,981.79,640.3,48,70,20,23,40,0
1,3,0,0,2,2,1,3,10.99,6.4,449.97,0.02,19,0.16,25.0,70.31,8,11,5,8,6,0
3,23,0,0,12,1,1,24,13.23,33.0,14404.99,0.15,101,0.03,800.28,436.51,44,57,8,12,29,0
4,1,0,1,1,1,1,16,25.27,12.83,4162.24,0.11,69,0.08,231.24,324.33,22,47,12,14,24,0
5,3,0,0,2,2,1,14,18.73,9.0,1517.0,0.06,39,0.11,84.28,168.56,12,27,8,12,22,1
2,5,0,3,3,3,1,10,18.86,11.0,2281.98,0.07,48,0.09,126.78,207.45,18,30,9,11,17,0
9,11,1,7,6,5,1,52,42.67,31.89,43402.17,0.45,245,0.03,2411.23,1360.87,94,151,28,19,72,1
1,3,0,3,2,1,1,10,17.72,3.0,159.45,0.02,16,0.33,8.86,53.15,6,10,5,5,16,0
3,7,0,0,4,2,1,9,15.54,13.2,2707.77,0.07,46,0.08,150.43,205.13,22,24,10,12,14,0
33,32,0,0,23,19,1,102,60.99,33.1,66834.75,0.67,311,0.03,3713.04,2018.97,120,191,58,32,137,0
1,1,0,0,1,1,1,3,11.16,3.12,108.97,0.01,11,0.32,6.05,34.87,5,6,4,5,6,1
3,5,0,0,3,2,1,11,14.89,7.0,729.74,0.03,25,0.14,40.54,104.25,7,18,6,12,16,0
5,7,0,8,4,4,1,21,20.33,14.42,4229.55,0.1,61,0.07,234.97,293.25,25,36,13,15,36,0
30,43,0,1,22,22,1,173,80.11,48.77,190569.02,1.3,608,0.02,10587.17,3907.17,252,356,62,24,206,0
4,3,0,1,2,2,1,10,30.8,10.29,3263.94,0.11,64,0.1,181.33,317.07,25,39,17,14,17,0
1,67,0,0,41,1,22,118,22.92,90.18,186362.34,0.69,391,0.01,10353.46,2066.59,101,290,14,25,122,1
5,21,0,6,11,10,3,42,53.49,14.0,10483.54,0.25,138,0.07,582.42,748.82,58,80,29,14,55,1
0,3,0,0,2,2,1,9,15.23,6.0,548.26,0.03,24,0.17,30.46,91.38,9,15,6,8,11,0
4,5,0,0,3,3,1,14,23.44,7.8,1426.13,0.06,41,0.13,79.23,182.84,13,28,10,12,20,1
8,9,0,9,5,1,1,50,32.18,44.18,62806.83,0.47,269,0.02,3489.27,1421.77,93,176,20,19,72,0
8,7,0,0,4,2,4,21,26.5,19.8,10387.42,0.17,104,0.05,577.08,524.62,33,71,15,18,31,0
3,7,0,0,4,2,4,15,14.54,15.56,3518.33,0.08,50,0.06,195.46,226.18,20,30,9,14,20,0
1,5,0,0,3,2,3,6,13.38,6.42,550.79,0.03,21,0.16,30.6,85.84,7,14,6,11,9,0
73,35,3,18,18,6,8,64,22.39,51.33,59009.54,0.38,216,0.02,3278.31,1149.54,84,132,18,22,160,1
9,17,0,10,9,7,8,57,55.62,23.07,29608.49,0.43,223,0.04,1644.92,1283.34,85,138,35,19,78,0
13,29,2,9,15,9,6,62,44.14,36.56,59011.68,0.54,268,0.03,3278.43,1613.99,117,151,40,25,88,1
8,11,0,4,6,5,4,38,46.35,16.0,11864.41,0.25,147,0.06,659.13,741.53,56,91,21,12,53,1
3,33,0,9,17,15,7,81,55.63,31.75,56075.59,0.59,299,0.03,3115.31,1766.16,127,172,40,20,95,1
4,13,0,0,7,7,1,48,28.32,27.2,20951.94,0.26,162,0.04,1164.0,770.29,68,94,15,12,54,1
4,7,0,6,4,2,3,12,35.08,12.52,5501.48,0.15,82,0.08,305.64,439.32,29,53,22,19,24,0
8,5,0,0,3,3,3,25,32.72,15.39,7753.7,0.17,99,0.06,430.76,503.66,39,60,19,15,35,0
1,5,0,0,3,2,3,8,10.99,6.4,449.97,0.02,19,0.16,25.0,70.31,8,11,5,8,11,0
1,9,0,0,5,2,4,12,9.23,14.3,1887.6,0.04,33,0.07,104.87,132.0,13,20,5,11,15,0
1,5,0,0,3,2,1,9,18.99,10.77,2201.88,0.07,43,0.09,122.33,204.46,20,23,13,14,12,0
3,3,0,0,2,1,1,16,16.21,15.44,3864.96,0.08,57,0.06,214.72,250.36,19,38,8,13,21,1
10,13,2,2,7,7,1,45,55.74,21.72,26305.77,0.4,218,0.05,1461.43,1210.9,70,148,29,18,61,1
2,1,0,0,1,1,1,31,62.09,13.79,11804.52,0.29,155,0.07,655.81,856.15,70,85,33,13,35,0
2,1,0,0,1,1,1,2,6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,1,6,1,6,6,0
0,1,0,0,1,1,1,4,34.82,2.44,208.05,0.03,23,0.41,11.56,85.11,11,12,9,4,6,0
13,9,0,1,5,5,1,147,147.28,37.21,203890.96,1.83,840,0.03,11327.28,5479.79,382,458,77,15,163,1
7,31,0,26,16,3,7,62,23.77,51.75,63661.56,0.41,224,0.02,3536.75,1230.18,99,125,22,23,97,0
2,17,1,8,9,2,8,14,24.56,22.45,12380.3,0.18,101,0.04,687.79,551.4,41,60,21,23,25,0
11,16,1,13,11,4,1,58,49.25,17.86,15709.76,0.29,145,0.06,872.76,879.58,64,81,43,24,83,0
2,1,0,0,1,1,1,7,22.94,6.67,1019.5,0.05,36,0.15,56.64,152.93,12,24,9,10,12,0
3,1,0,0,1,1,1,9,38.75,4.38,745.02,0.06,40,0.23,41.39,169.92,19,21,13,6,14,0
8,7,1,0,4,3,1,29,38.2,24.14,22259.16,0.31,171,0.04,1236.62,922.09,71,100,25,17,40,1
0,1,0,4,1,1,1,3,10.8,3.33,120.0,0.01,12,0.3,6.67,36.0,4,8,3,5,11,0
0,1,0,0,1,1,1,3,11.23,2.0,44.92,0.01,8,0.5,2.5,22.46,3,5,3,4,5,0
7,7,1,4,4,2,3,27,29.64,15.79,7390.21,0.16,92,0.06,410.57,468.05,40,52,19,15,41,0
2,9,0,2,5,5,1,12,61.31,10.19,6360.68,0.21,119,0.1,353.37,624.5,50,69,27,11,18,0
3,3,0,0,2,1,1,9,20.01,12.6,3177.38,0.08,55,0.08,176.52,252.17,18,37,10,14,14,0
4,3,0,0,2,2,1,11,19.45,8.0,1244.72,0.05,36,0.13,69.15,155.59,16,20,10,10,17,0
17,169,1,17,85,58,57,287,209.56,24.56,126435.8,1.72,733,0.04,7024.21,5147.4,287,446,111,19,325,1
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,5,0
11,14,0,1,12,12,1,61,44.06,45.09,89588.86,0.66,335,0.02,4977.16,1986.8,149,186,38,23,75,0
4,9,1,17,5,4,4,27,39.57,12.6,6282.0,0.17,98,0.08,349.0,498.57,36,62,20,14,51,0
12,31,0,18,16,11,13,81,43.26,55.74,134422.02,0.8,405,0.02,7467.89,2411.45,165,240,37,25,114,1
31,7,0,3,4,4,1,19,10.32,32.0,10567.04,0.11,73,0.03,587.06,330.22,28,45,7,16,55,1
11,405,0,17,404,2,1,814,101.2,206.01,4294926.45,6.95,2033,0.0,238607.05,20848.47,813,1220,811,411,844,1
0,3,0,0,2,2,1,8,17.9,10.5,1973.83,0.06,41,0.1,109.66,187.98,15,26,10,14,11,0
2,3,0,0,2,2,1,16,39.02,8.53,2838.95,0.11,70,0.12,157.72,332.84,29,41,17,10,20,0
5,17,0,5,9,3,6,35,27.41,23.5,15139.0,0.21,118,0.04,841.06,644.21,47,71,22,22,47,1
8,55,0,7,28,19,20,125,79.03,48.45,185548.49,1.28,587,0.02,10308.25,3829.33,246,341,66,26,142,0
1,1,0,2,1,1,1,6,25.84,4.13,439.75,0.04,28,0.24,24.43,106.61,11,17,8,6,13,0
0,3,0,0,2,2,1,12,19.93,5.57,618.5,0.04,30,0.18,34.36,111.01,13,17,7,6,14,0
14,42,1,0,22,9,6,67,42.26,63.88,172435.02,0.9,445,0.02,9579.72,2699.41,124,321,33,34,84,1
2,25,0,23,1,1,1,37,32.8,26.53,23077.33,0.29,167,0.04,1282.07,869.98,56,111,19,18,64,0
21,87,0,7,44,44,40,172,111.79,41.37,191348.8,1.54,716,0.02,10630.49,4624.95,264,452,67,21,202,1
1,3,1,1,2,2,1,9,21.33,4.5,432.0,0.03,24,0.22,24.0,96.0,9,15,8,8,15,0
9,55,0,2,28,19,5,186,79.15,64.2,326177.53,1.69,797,0.02,18120.97,5080.91,356,441,61,22,199,1
11,15,0,0,8,8,1,53,59.83,30.57,55903.67,0.61,335,0.03,3105.76,1828.91,131,204,30,14,66,0
4,9,0,4,5,4,1,19,20.01,15.6,4869.7,0.1,70,0.06,270.54,312.16,26,44,10,12,29,0
6,5,0,1,3,1,3,15,19.88,16.62,5488.77,0.11,68,0.06,304.93,330.34,27,41,13,16,25,0
3,1,0,0,1,1,1,4,6.15,9.0,498.16,0.02,16,0.11,27.68,55.35,4,12,2,9,10,0
2,7,0,0,4,1,3,11,9.91,19.43,3741.33,0.06,42,0.05,207.85,192.57,16,26,7,17,15,0
2,7,0,0,4,1,4,11,12.22,9.17,1026.67,0.04,28,0.11,57.04,112.0,11,17,6,10,15,0
2,3,0,0,2,2,1,10,23.44,7.33,1260.57,0.06,38,0.14,70.03,171.9,16,22,12,11,14,0
4,5,0,0,3,1,1,13,23.78,10.15,2451.96,0.08,52,0.1,136.22,241.48,22,30,13,12,19,1
6,5,0,1,3,3,1,17,14.61,24.73,8935.73,0.12,76,0.04,496.43,361.37,34,42,11,16,28,0
1,5,0,0,3,3,1,29,17.67,39.38,27392.06,0.23,156,0.03,1521.78,695.67,45,111,8,14,32,0
3,7,0,0,4,2,1,15,19.2,6.86,902.99,0.04,31,0.15,50.17,131.69,8,23,7,12,20,0
0,5,0,0,3,3,1,16,22.11,13.2,3853.01,0.1,70,0.08,214.06,291.89,33,37,10,8,18,0
4,5,0,3,3,2,3,19,57.81,7.92,3626.34,0.15,90,0.13,201.46,457.87,44,46,25,9,30,0
5,5,0,9,3,2,1,20,24.87,17.94,8007.67,0.15,87,0.06,444.87,446.25,38,49,18,17,36,0
2,19,0,0,18,18,1,62,56.28,21.6,26256.88,0.41,199,0.05,1458.72,1215.6,81,118,45,24,67,0
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,25,0
8,61,0,43,31,12,23,79,83.15,91.2,691554.81,2.53,1229,0.01,38419.71,7582.84,304,925,45,27,132,1
38,9,0,61,5,5,1,134,195.27,28.11,154319.96,1.83,799,0.04,8573.33,5489.42,290,509,98,19,238,0
8,4,0,0,3,3,1,26,43.45,15.83,10882.77,0.23,132,0.06,604.6,687.65,52,80,23,14,36,0
1,9,0,0,5,5,1,21,19.04,23.68,10675.05,0.15,91,0.04,593.06,450.83,39,52,14,17,24,0
4,13,0,0,7,3,5,25,21.95,19.0,7924.63,0.14,85,0.05,440.26,417.09,38,47,15,15,31,0
4,3,7,3,2,1,1,11,31.94,12.06,4641.39,0.13,77,0.08,257.85,385.0,31,46,18,14,27,0
1,1,0,0,1,1,1,4,24.22,2.29,126.52,0.02,16,0.44,7.03,55.35,8,8,7,4,7,0
5,7,0,8,4,4,3,22,47.06,8.94,3759.12,0.14,82,0.11,208.84,420.6,39,43,24,11,37,0
3,6,1,0,5,1,1,21,24.96,9.0,2021.97,0.07,49,0.11,112.33,224.66,18,31,12,12,27,0
0,3,0,0,2,1,1,7,17.27,5.57,536.04,0.03,26,0.18,29.78,96.21,13,13,7,6,9,0
4,1,0,0,1,1,1,10,26.54,5.5,802.71,0.05,35,0.18,44.6,145.95,11,24,9,9,14,1
4,1,0,0,1,1,1,13,28.12,8.85,2200.89,0.08,55,0.11,122.27,248.8,23,32,13,10,20,0
35,31,0,0,16,9,11,115,125.22,26.92,90732.21,1.12,500,0.04,5040.68,3370.73,208,292,85,22,152,1
19,7,0,13,4,3,4,50,29.29,33.87,33604.92,0.33,184,0.03,1866.94,992.19,82,102,23,19,89,0
0,5,0,0,3,2,3,9,15.19,8.25,1034.02,0.04,29,0.12,57.45,125.34,11,18,8,12,11,0
2,5,0,0,3,2,3,6,13.71,5.83,466.67,0.03,20,0.17,25.93,80.0,7,13,6,10,10,0
1,7,0,0,4,3,1,11,23.15,11.57,3100.28,0.09,57,0.09,172.24,267.93,27,30,14,12,14,0
31,3,0,8,2,2,1,48,72.16,18.75,25368.9,0.45,230,0.05,1409.38,1353.01,110,120,44,15,87,0
4,5,0,0,3,2,1,27,42.57,10.64,4815.98,0.15,89,0.09,267.55,452.78,39,50,22,12,33,0
8,19,2,8,10,9,1,62,54.15,34.75,65394.23,0.63,327,0.03,3633.01,1881.85,139,188,36,18,82,0
1,5,0,0,3,2,1,7,10.42,8.25,709.1,0.03,22,0.12,39.39,85.95,11,11,6,9,10,0
3,39,0,4,20,8,14,50,62.85,20.1,25384.76,0.42,230,0.05,1410.26,1263.13,89,141,31,14,61,0
2,21,0,0,20,20,1,70,57.62,48.49,135464.04,0.93,412,0.02,7525.78,2793.92,157,255,68,42,74,1
2,39,0,0,20,2,13,49,68.48,7.95,4327.95,0.18,103,0.13,240.44,544.4,53,50,30,9,54,0
2,3,0,0,2,2,1,160,199.72,30.26,182874.17,2.0,938,0.03,10159.68,6043.48,466,472,77,10,162,1
9,7,0,11,4,4,1,29,43.1,20.76,18575.74,0.3,162,0.05,1031.99,894.82,59,103,27,19,51,1
9,21,1,24,11,10,10,59,47.39,19.8,18577.82,0.31,168,0.05,1032.09,938.27,66,102,30,18,95,1
2,11,1,0,6,3,1,14,27.18,11.38,3516.4,0.1,63,0.09,195.36,309.13,26,37,16,14,19,1
4,17,0,0,9,1,8,32,19.2,25.97,12946.24,0.17,98,0.04,719.24,498.57,41,57,15,19,38,0
8,9,0,5,5,5,3,35,38.9,18.75,13675.98,0.24,138,0.05,759.78,729.39,60,78,24,15,50,0
0,9,0,0,8,8,1,28,50.46,14.0,9889.51,0.24,131,0.07,549.42,706.39,56,75,28,14,30,0
1,3,0,3,2,2,1,7,15.0,3.0,135.0,0.02,15,0.33,7.5,45.0,6,9,4,4,13,0
1,1,0,2,1,1,1,4,4.14,15.0,930.59,0.02,24,0.07,51.7,62.04,6,18,1,5,9,1
11,15,6,4,8,7,1,31,32.29,22.26,16005.55,0.24,137,0.04,889.2,718.97,55,82,21,17,55,0
0,1,0,1,1,1,1,4,13.84,3.0,124.54,0.01,12,0.33,6.92,41.51,5,7,5,6,7,0
0,1,0,0,1,1,1,2,19.37,2.5,121.08,0.02,14,0.4,6.73,48.43,6,8,6,5,4,0
7,5,0,0,4,4,1,40,37.61,23.38,20564.75,0.29,143,0.04,1142.49,879.41,57,86,39,32,50,0
0,3,1,0,2,2,1,2,7.92,4.0,126.8,0.01,10,0.25,7.04,31.7,4,6,3,6,5,0
3,3,0,0,2,2,1,14,49.68,4.86,1173.86,0.08,52,0.21,65.2,241.48,25,27,18,7,19,0
14,13,0,0,12,2,1,70,42.98,18.38,14512.58,0.26,136,0.05,806.25,789.8,49,87,32,24,86,1
31,13,1,23,7,5,4,57,35.81,30.52,33358.44,0.36,204,0.03,1853.25,1092.94,78,126,23,18,114,0
58,133,0,34,68,12,17,371,37.09,214.5,1706686.76,2.65,1347,0.0,94815.93,7956.58,561,786,34,26,465,1
7,7,0,0,4,3,1,27,32.54,15.68,7999.96,0.17,104,0.06,444.44,510.32,41,63,17,13,36,0
17,25,5,4,16,10,4,89,46.52,47.69,105792.65,0.74,348,0.02,5877.37,2218.51,152,196,51,32,120,1
4,13,0,2,7,5,1,33,42.38,18.79,14958.55,0.27,139,0.05,831.03,796.18,62,77,33,20,41,1
4,13,0,2,7,5,7,12,18.1,19.5,6882.19,0.12,76,0.05,382.34,352.93,26,50,10,15,20,0
5,35,0,6,18,7,17,34,43.69,27.0,31848.28,0.39,209,0.04,1769.35,1179.57,81,128,30,20,48,0
0,3,0,0,2,2,1,7,21.0,2.0,84.0,0.01,14,0.5,4.67,42.0,4,10,4,4,9,0
9,9,2,2,5,4,1,27,47.18,16.72,13185.3,0.26,142,0.06,732.52,788.75,59,83,30,17,46,0
1,5,0,0,3,3,1,14,24.54,4.5,496.86,0.04,29,0.22,27.6,110.41,9,20,7,7,17,0
9,37,3,2,19,10,17,54,62.49,29.37,53894.7,0.61,316,0.03,2994.15,1835.12,124,192,38,18,82,0
3,9,0,6,5,2,5,29,28.91,16.58,7945.79,0.16,92,0.06,441.43,479.27,35,57,19,18,41,0
0,1,0,1,1,1,1,19,66.39,7.22,3463.04,0.16,106,0.14,192.39,479.5,52,54,18,5,22,0
0,7,0,0,6,6,1,22,43.97,11.45,5769.18,0.17,99,0.09,320.51,503.66,42,57,22,12,24,0
7,7,0,0,4,2,1,15,27.06,11.72,3715.65,0.11,64,0.09,206.42,317.07,25,39,16,15,24,0
23,84,11,7,47,26,13,267,144.54,54.2,424664.6,2.61,1036,0.02,23592.48,7834.48,477,559,154,35,308,1
1,3,0,2,2,1,1,4,8.54,4.67,186.03,0.01,12,0.21,10.33,39.86,4,8,3,7,11,0
3,5,0,0,3,2,1,18,23.36,10.5,2575.32,0.08,55,0.1,143.07,245.27,21,34,11,11,23,0
3,11,0,0,6,4,5,14,24.38,15.5,5856.37,0.13,77,0.06,325.35,377.83,31,46,15,15,19,0
8,13,0,1,7,2,1,36,29.13,36.42,38635.41,0.35,191,0.03,2146.41,1060.93,76,115,24,23,47,1
2,15,0,6,8,5,7,16,27.2,13.24,4764.71,0.12,72,0.08,264.71,360.0,30,42,17,15,24,1
0,3,0,0,2,2,1,9,22.07,3.86,328.28,0.03,23,0.26,18.24,85.11,9,14,7,6,11,0
1,3,0,0,2,1,1,6,23.33,10.08,2371.85,0.08,52,0.1,131.77,235.23,22,30,12,11,9,0
3,7,0,7,4,4,4,35,47.6,14.58,10122.49,0.23,119,0.07,562.36,694.11,50,69,36,21,45,0
4,25,8,0,13,5,4,59,41.63,29.86,37113.97,0.41,217,0.03,2061.88,1242.96,91,126,32,21,75,1
